finding_id,structure,component,severity,confidence,nbi_rating,deteriorated_qty,total_qty,units,direction,evidence,verdict (correct|incorrect),reviewer note
F-contradiction-fc7b00165719,AL019153,substructure,0.4084,0.9,6,10.0,522.0,,nbi_pessimistic,NBE-AL019153-2023-205-cs1 NBE-AL019153-2023-205-cs2 NBE-AL019153-2023-205-cs3 NBE-AL019153-2023-205-cs4 NBE-AL019153-2023-215-cs1 NBE-AL019153-2023-215-cs2 NBE-AL019153-2023-215-cs3 NBE-AL019153-2023-215-cs4 NBE-AL019153-2023-234-cs1 NBE-AL019153-2023-234-cs2 NBE-AL019153-2023-234-cs3 NBE-AL019153-2023-234-cs4 NBI-AL019153-2023-substructure,,
F-contradiction-3105001daa1c,AL010187,superstructure,0.6,0.9,6,0.0,447.0,,nbi_pessimistic,NBE-AL010187-2023-107-cs1 NBE-AL010187-2023-107-cs2 NBE-AL010187-2023-107-cs3 NBE-AL010187-2023-107-cs4 NBI-AL010187-2023-superstructure,,
F-contradiction-6f05001e2737,AL011072,deck,0.6,0.9,6,8103.0,11821.0,,nbi_optimistic,NBE-AL011072-2023-16-cs3 NBI-AL011072-2023-deck,,
F-contradiction-2b3e001ea464,AL010810,deck,0.6,0.9,6,5893.0,15020.0,,nbi_optimistic,NBE-AL010810-2023-12-cs3 NBI-AL010810-2023-deck,,
F-contradiction-5bf300277aba,AL012327,superstructure,0.6,0.9,6,0.0,2818.0,,nbi_pessimistic,NBE-AL012327-2023-107-cs1 NBE-AL012327-2023-107-cs2 NBE-AL012327-2023-107-cs3 NBE-AL012327-2023-107-cs4 NBI-AL012327-2023-superstructure,,
F-contradiction-a67d003021ff,IA047620,deck,0.5832,0.9,6,12.0,7122.0,,nbi_pessimistic,NBE-IA047620-2023-12-cs1 NBE-IA047620-2023-12-cs2 NBE-IA047620-2023-12-cs3 NBE-IA047620-2023-12-cs4 NBI-IA047620-2023-deck,,
F-contradiction-5f650031c78b,AL011675,substructure,0.6,0.9,6,0.0,238.0,,nbi_pessimistic,NBE-AL011675-2023-215-cs1 NBE-AL011675-2023-215-cs2 NBE-AL011675-2023-215-cs3 NBE-AL011675-2023-215-cs4 NBE-AL011675-2023-226-cs1 NBE-AL011675-2023-226-cs2 NBE-AL011675-2023-226-cs3 NBE-AL011675-2023-226-cs4 NBE-AL011675-2023-234-cs1 NBE-AL011675-2023-234-cs2 NBE-AL011675-2023-234-cs3 NBE-AL011675-2023-234-cs4 NBI-AL011675-2023-substructure,,
F-contradiction-b5b2004d1451,AL013534,superstructure,0.5929,0.9,6,4.0,5663.0,,nbi_pessimistic,NBE-AL013534-2023-107-cs1 NBE-AL013534-2023-107-cs2 NBE-AL013534-2023-107-cs3 NBE-AL013534-2023-107-cs4 NBE-AL013534-2023-109-cs1 NBE-AL013534-2023-109-cs2 NBE-AL013534-2023-109-cs3 NBE-AL013534-2023-109-cs4 NBI-AL013534-2023-superstructure,,
F-contradiction-e916007e27c1,IA040670,substructure,0.6,0.765,5,41.0,120.0,,nbi_optimistic,NBE-IA040670-2023-215-cs3 NBI-IA040670-2023-substructure,,
F-contradiction-59fe0084bf70,IA017420,deck,0.5845,0.9,6,12.0,7726.0,,nbi_pessimistic,NBE-IA017420-2023-12-cs1 NBE-IA017420-2023-12-cs2 NBE-IA017420-2023-12-cs3 NBE-IA017420-2023-12-cs4 NBI-IA017420-2023-deck,,
F-contradiction-798300869cfe,IA050131,superstructure,0.6,0.9,6,0.0,1666.0,,nbi_pessimistic,NBE-IA050131-2023-109-cs1 NBE-IA050131-2023-109-cs2 NBE-IA050131-2023-109-cs3 NBE-IA050131-2023-109-cs4 NBI-IA050131-2023-superstructure,,
F-contradiction-dc8d00871a51,IA035860,deck,0.5473,0.9,5,2404.0,16319.0,,nbi_optimistic,NBE-IA035860-2023-12-cs3 NBE-IA035860-2023-12-cs4 NBI-IA035860-2023-deck,,
F-contradiction-777d00aa7693,IA605550,substructure,0.6,0.9,6,0.0,251.0,,nbi_pessimistic,NBE-IA605550-2023-205-cs1 NBE-IA605550-2023-205-cs2 NBE-IA605550-2023-205-cs3 NBE-IA605550-2023-205-cs4 NBE-IA605550-2023-215-cs1 NBE-IA605550-2023-215-cs2 NBE-IA605550-2023-215-cs3 NBE-IA605550-2023-215-cs4 NBE-IA605550-2023-234-cs1 NBE-IA605550-2023-234-cs2 NBE-IA605550-2023-234-cs3 NBE-IA605550-2023-234-cs4 NBI-IA605550-2023-substructure,,
F-contradiction-9b7c00aec89c,AL012382,superstructure,0.6,0.9,6,0.0,7030.0,,nbi_pessimistic,NBE-AL012382-2023-107-cs1 NBE-AL012382-2023-107-cs2 NBE-AL012382-2023-107-cs3 NBE-AL012382-2023-107-cs4 NBI-AL012382-2023-superstructure,,
F-contradiction-122700afb159,IA604915,culvert,0.5505,0.81,6,2.0,404.0,,nbi_pessimistic,NBE-IA604915-2023-241-cs1 NBE-IA604915-2023-241-cs2 NBE-IA604915-2023-241-cs3 NBE-IA604915-2023-241-cs4 NBI-IA604915-2023-culvert,,
F-contradiction-72b100afd413,AL010773,deck,0.594,0.9,6,151.0,250740.0,,nbi_pessimistic,NBE-AL010773-2023-12-cs1 NBE-AL010773-2023-12-cs2 NBE-AL010773-2023-12-cs3 NBE-AL010773-2023-12-cs4 NBI-AL010773-2023-deck,,
F-contradiction-0df600cc6fda,IA600060,deck,0.5545,0.9,6,44.0,9661.0,,nbi_pessimistic,NBE-IA600060-2023-12-cs1 NBE-IA600060-2023-12-cs2 NBE-IA600060-2023-12-cs3 NBE-IA600060-2023-12-cs4 NBI-IA600060-2023-deck,,
F-contradiction-454900cd7d48,AL010166,superstructure,0.6,0.9,6,0.0,1080.0,,nbi_pessimistic,NBE-AL010166-2023-107-cs1 NBE-AL010166-2023-107-cs2 NBE-AL010166-2023-107-cs3 NBE-AL010166-2023-107-cs4 NBI-AL010166-2023-superstructure,,
F-contradiction-ec8700dcce27,AZ002559,deck,0.6,0.9,6,0.0,21236.0,,nbi_pessimistic,NBE-AZ002559-2023-12-cs1 NBE-AZ002559-2023-12-cs2 NBE-AZ002559-2023-12-cs3 NBE-AZ002559-2023-12-cs4 NBI-AZ002559-2023-deck,,
F-contradiction-79fe00e4e435,AZ000919,deck,0.5364,0.9,6,25.0,3931.0,,nbi_pessimistic,NBE-AZ000919-2023-38-cs1 NBE-AZ000919-2023-38-cs2 NBE-AZ000919-2023-38-cs3 NBE-AZ000919-2023-38-cs4 NBI-AZ000919-2023-deck,,
F-contradiction-58cd00e929a6,IA603830,superstructure,0.4231,0.9,5,41.0,2318.0,,nbi_pessimistic,NBE-IA603830-2023-109-cs1 NBE-IA603830-2023-109-cs2 NBE-IA603830-2023-109-cs3 NBE-IA603830-2023-109-cs4 NBI-IA603830-2023-superstructure,,
F-contradiction-9a9b00ee1910,AL011062,substructure,0.5401,0.765,6,1.0,167.0,,nbi_pessimistic,NBE-AL011062-2023-205-cs1 NBE-AL011062-2023-205-cs2 NBE-AL011062-2023-205-cs3 NBE-AL011062-2023-205-cs4 NBE-AL011062-2023-215-cs1 NBE-AL011062-2023-215-cs2 NBE-AL011062-2023-215-cs3 NBE-AL011062-2023-215-cs4 NBE-AL011062-2023-234-cs1 NBE-AL011062-2023-234-cs2 NBE-AL011062-2023-234-cs3 NBE-AL011062-2023-234-cs4 NBI-AL011062-2023-substructure,,
F-contradiction-de9700ee6203,AZ002138,substructure,0.6,0.9,6,0.0,399.0,,nbi_pessimistic,NBE-AZ002138-2023-215-cs1 NBE-AZ002138-2023-215-cs2 NBE-AZ002138-2023-215-cs3 NBE-AZ002138-2023-215-cs4 NBI-AZ002138-2023-substructure,,
F-contradiction-959c00f42f45,IA600010,deck,0.5919,0.9,6,13.0,16102.0,,nbi_pessimistic,NBE-IA600010-2023-12-cs1 NBE-IA600010-2023-12-cs2 NBE-IA600010-2023-12-cs3 NBE-IA600010-2023-12-cs4 NBI-IA600010-2023-deck,,
F-contradiction-ca420108bab6,IA600965,deck,0.5916,0.9,6,12.0,14301.0,,nbi_pessimistic,NBE-IA600965-2023-12-cs1 NBE-IA600965-2023-12-cs2 NBE-IA600965-2023-12-cs3 NBE-IA600965-2023-12-cs4 NBI-IA600965-2023-deck,,
F-contradiction-27cb010909ca,IA051270,culvert,0.4756,0.81,5,5.0,402.0,,nbi_pessimistic,NBE-IA051270-2023-241-cs1 NBE-IA051270-2023-241-cs2 NBE-IA051270-2023-241-cs3 NBE-IA051270-2023-241-cs4 NBI-IA051270-2023-culvert,,
F-contradiction-ff19010bd951,AL008551,culvert,0.6,0.81,6,607.0,644.0,,nbi_optimistic,NBE-AL008551-2023-241-cs3 NBI-AL008551-2023-culvert,,
F-contradiction-8f1f010d60b3,AL005845,superstructure,0.4,0.9,5,24.0,1200.0,,nbi_pessimistic,NBE-AL005845-2023-110-cs1 NBE-AL005845-2023-110-cs2 NBE-AL005845-2023-110-cs3 NBE-AL005845-2023-110-cs4 NBI-AL005845-2023-superstructure,,
F-contradiction-71e001163ff7,AL014422,deck,0.5726,0.9,6,34.0,12398.0,,nbi_pessimistic,NBE-AL014422-2023-12-cs1 NBE-AL014422-2023-12-cs2 NBE-AL014422-2023-12-cs3 NBE-AL014422-2023-12-cs4 NBI-AL014422-2023-deck,,
F-contradiction-c8c5011f3e92,AL006444,deck,0.6,0.9,5,6587.0,10503.0,,nbi_optimistic,NBE-AL006444-2023-16-cs3 NBI-AL006444-2023-deck,,
F-contradiction-46780120e1ab,AL010541,superstructure,0.5562,0.9,6,56.0,12785.0,,nbi_pessimistic,NBE-AL010541-2023-107-cs1 NBE-AL010541-2023-107-cs2 NBE-AL010541-2023-107-cs3 NBE-AL010541-2023-107-cs4 NBI-AL010541-2023-superstructure,,
F-contradiction-35a5012244b2,IA302225,deck,0.5953,0.9,6,6.0,12704.0,,nbi_pessimistic,NBE-IA302225-2023-12-cs1 NBE-IA302225-2023-12-cs2 NBE-IA302225-2023-12-cs3 NBE-IA302225-2023-12-cs4 NBI-IA302225-2023-deck,,
F-contradiction-6011012a002d,AL009877,deck,0.5285,0.9,6,62.0,8670.0,,nbi_pessimistic,NBE-AL009877-2023-16-cs1 NBE-AL009877-2023-16-cs2 NBE-AL009877-2023-16-cs3 NBE-AL009877-2023-16-cs4 NBI-AL009877-2023-deck,,
F-contradiction-3fad014fc704,IA036860,substructure,0.6,0.765,6,39.0,184.0,,nbi_optimistic,NBE-IA036860-2023-215-cs3 NBE-IA036860-2023-234-cs3 NBI-IA036860-2023-substructure,,
F-contradiction-752b015580e0,AL019227,substructure,0.5517,0.9,6,1.0,207.0,,nbi_pessimistic,NBE-AL019227-2023-205-cs1 NBE-AL019227-2023-205-cs2 NBE-AL019227-2023-205-cs3 NBE-AL019227-2023-205-cs4 NBE-AL019227-2023-215-cs1 NBE-AL019227-2023-215-cs2 NBE-AL019227-2023-215-cs3 NBE-AL019227-2023-215-cs4 NBE-AL019227-2023-234-cs1 NBE-AL019227-2023-234-cs2 NBE-AL019227-2023-234-cs3 NBE-AL019227-2023-234-cs4 NBI-AL019227-2023-substructure,,
F-contradiction-98010155e4db,AL011763,superstructure,0.6,0.9,6,0.0,3069.0,,nbi_pessimistic,NBE-AL011763-2023-107-cs1 NBE-AL011763-2023-107-cs2 NBE-AL011763-2023-107-cs3 NBE-AL011763-2023-107-cs4 NBI-AL011763-2023-superstructure,,
F-contradiction-9ef8016176b0,IA046100,deck,0.5858,0.9,6,7.0,4924.0,,nbi_pessimistic,NBE-IA046100-2023-38-cs1 NBE-IA046100-2023-38-cs2 NBE-IA046100-2023-38-cs3 NBE-IA046100-2023-38-cs4 NBI-IA046100-2023-deck,,
F-contradiction-25ea016dbfb1,AL011068,deck,0.4853,0.9,6,142.0,12385.0,,nbi_pessimistic,NBE-AL011068-2023-12-cs1 NBE-AL011068-2023-12-cs2 NBE-AL011068-2023-12-cs3 NBE-AL011068-2023-12-cs4 NBI-AL011068-2023-deck,,
F-contradiction-d493016edb2f,AL006828,superstructure,0.4775,0.9,5,15.0,1224.0,,nbi_pessimistic,NBE-AL006828-2023-109-cs1 NBE-AL006828-2023-109-cs2 NBE-AL006828-2023-109-cs3 NBE-AL006828-2023-109-cs4 NBE-AL006828-2023-110-cs1 NBE-AL006828-2023-110-cs2 NBE-AL006828-2023-110-cs3 NBE-AL006828-2023-110-cs4 NBI-AL006828-2023-superstructure,,
F-contradiction-30aa017821df,IA604670,substructure,0.6,0.765,6,0.0,132.0,,nbi_pessimistic,NBE-IA604670-2023-205-cs1 NBE-IA604670-2023-205-cs2 NBE-IA604670-2023-205-cs3 NBE-IA604670-2023-205-cs4 NBE-IA604670-2023-215-cs1 NBE-IA604670-2023-215-cs2 NBE-IA604670-2023-215-cs3 NBE-IA604670-2023-215-cs4 NBE-IA604670-2023-234-cs1 NBE-IA604670-2023-234-cs2 NBE-IA604670-2023-234-cs3 NBE-IA604670-2023-234-cs4 NBI-IA604670-2023-substructure,,
F-contradiction-079c017db0e9,AL010694,deck,0.5916,0.9,6,50.0,59506.0,,nbi_pessimistic,NBE-AL010694-2023-12-cs1 NBE-AL010694-2023-12-cs2 NBE-AL010694-2023-12-cs3 NBE-AL010694-2023-12-cs4 NBE-AL010694-2023-16-cs1 NBE-AL010694-2023-16-cs2 NBE-AL010694-2023-16-cs3 NBE-AL010694-2023-16-cs4 NBI-AL010694-2023-deck,,
F-contradiction-514d018417ed,AL012303,deck,0.6,0.9,6,0.0,14657.0,,nbi_pessimistic,NBE-AL012303-2023-12-cs1 NBE-AL012303-2023-12-cs2 NBE-AL012303-2023-12-cs3 NBE-AL012303-2023-12-cs4 NBI-AL012303-2023-deck,,
F-contradiction-758201846a3e,AL017171,deck,1.0,0.9,7,5503.0,24424.0,,nbi_optimistic,NBE-AL017171-2023-12-cs3 NBI-AL017171-2023-deck,,
F-contradiction-544501862ecc,AZ001987,deck,0.6,0.9,6,0.0,17520.0,,nbi_pessimistic,NBE-AZ001987-2023-12-cs1 NBE-AZ001987-2023-12-cs2 NBE-AZ001987-2023-12-cs3 NBE-AZ001987-2023-12-cs4 NBI-AZ001987-2023-deck,,
F-contradiction-f8f101960096,IA051681,deck,0.5056,0.9,5,65.0,6887.0,,nbi_pessimistic,NBE-IA051681-2023-12-cs1 NBE-IA051681-2023-12-cs2 NBE-IA051681-2023-12-cs3 NBE-IA051681-2023-12-cs4 NBI-IA051681-2023-deck,,
F-contradiction-875001981816,IA020730,deck,0.5192,0.9,5,55.0,6810.0,,nbi_pessimistic,NBE-IA020730-2023-38-cs1 NBE-IA020730-2023-38-cs2 NBE-IA020730-2023-38-cs3 NBE-IA020730-2023-38-cs4 NBI-IA020730-2023-deck,,
F-contradiction-cdf20198f30b,AL017637,substructure,0.4616,0.9,7,13.0,211.0,,nbi_optimistic,NBE-AL017637-2023-215-cs3 NBE-AL017637-2023-234-cs3 NBI-AL017637-2023-substructure,,
F-contradiction-06b501a06af7,AZ006002,culvert,0.4547,0.81,6,5.0,344.0,,nbi_pessimistic,NBE-AZ006002-2023-241-cs1 NBE-AZ006002-2023-241-cs2 NBE-AZ006002-2023-241-cs3 NBE-AZ006002-2023-241-cs4 NBI-AZ006002-2023-culvert,,
F-contradiction-6ef801a1a425,AL009900,deck,0.6,0.9,6,0.0,6224.0,,nbi_pessimistic,NBE-AL009900-2023-16-cs1 NBE-AL009900-2023-16-cs2 NBE-AL009900-2023-16-cs3 NBE-AL009900-2023-16-cs4 NBI-AL009900-2023-deck,,
F-contradiction-4c5c01c1725b,AZ000657,deck,0.546,0.9,6,33.0,6106.0,,nbi_pessimistic,NBE-AZ000657-2023-12-cs1 NBE-AZ000657-2023-12-cs2 NBE-AZ000657-2023-12-cs3 NBE-AZ000657-2023-12-cs4 NBI-AZ000657-2023-deck,,
